1,Traditional,4
2,Main/General,7
3,Main,6
4,Standard,9
5,Airhall (Seasonal),4
6,Leisure Pool,7
7,Learner/Teaching/Training  ,7
8,Airhall,4
9,Driving Range,9
10,Lido,7
11,Full Sized Football,5
12,Synthetic,1
13,Sand Based,8
14,Par 3,9
15,Activity Hall,6
16,Framed Fabric,4
17,Outdoor Artificial,11
18,Cricket,5
19,Rubber Crumb Pile (3 G) ,8
20,Rounders,5
21,Junior Football,5
22,Senior Rugby Union,5
23,Cinder,1
24,Hockey,5
25,Water Based,8
26,Senior Rugby League,5
27,Lacrosse,5
28,Softball,5
29,Indoor,11
30,Gaelic Football,5
31,Baseball,5
32,Junior Rugby Union,5
33,Junior Rugby League,5
34,Permanent Grass,1
35,Outdoor Natural,11
36,Polo,5
